country,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Malaysia,2012-01-01,7.35,3.13955,2.3410998391489226,1.7511591005475053,-44.22260831815051
Malaysia,2012-07-01,7.4,3.1735,2.331810304080668,1.70999422299249,-46.1164574446986
Malaysia,2013-01-01,7.95,3.083,2.578657152124554,1.8203067235910035,-40.95664211511504
Malaysia,2013-07-01,7.3,3.1805,2.2952365980191796,1.6020482809070957,-49.62904320367566
Malaysia,2014-01-01,7.4,3.3235,2.2265683767112985,1.6002883402414851,-51.84930524322296
Malaysia,2014-07-01,7.63,3.1675,2.408839779005525,1.5912408759124088,-49.76350825848749
Malaysia,2015-01-01,7.63,3.6155,2.1103581800580833,1.592901878914405,-55.94241795285839
Malaysia,2015-07-01,7.65,3.8065,2.0097202154209906,1.5970772442588728,-58.043419302275765
Malaysia,2016-01-01,8.0,4.3925,1.8212862834376777,1.622718052738337,-63.05707335826211
Mexico,2000-04-01,20.9,9.41,2.22,8.326693227091633,-11.512293017092102
Mexico,2001-04-01,21.9,9.29,2.36,8.622047244094487,-7.190018901028116
Mexico,2002-04-01,21.9,9.28,2.37,8.795180722891565,-5.224345658496055
Mexico,2003-04-01,23.0,10.53,2.14,8.487084870848708,-19.40090341074351
Mexico,2004-05-01,24.0,11.6,2.08,8.275862068965518,-28.656361474435187
Mexico,2005-06-01,28.0,10.8675,2.576489533011272,9.15032679738562,-15.800995653226401
Mexico,2006-01-01,28.0,10.5425,2.6559165283376807,8.88888888888889,-15.68518957658156
Mexico,2006-05-01,29.0,11.3031,2.5656678256407535,9.35483870967742,-17.23652175352408
Mexico,2007-01-01,29.0,10.8894,2.663140301577681,9.006211180124224,-17.29377945410928
Mexico,2007-06-01,29.0,10.76755,2.6932774865220037,8.504398826979472,-21.01825552721397
Mexico,2008-06-01,32.0,10.1685,3.1469734965825835,8.96358543417367,-11.849481888443037
Mexico,2009-07-01,33.0,13.8104,2.389503562532584,9.243697478991598,-33.0671270999276
Mexico,2010-01-01,32.0,12.81375,2.4973173348941566,8.938547486033519,-30.242532544855973
Mexico,2010-07-01,32.0,12.782,2.5035205758097323,8.571428571428571,-32.941413147953604
Mexico,2011-07-01,32.0,11.67075,2.7418974787395842,7.872078720787207,-32.548647509481334
Mexico,2012-01-01,37.0,13.6844,2.7038087164946947,8.815358737450026,-35.58096272068906
